date,hiring_index
2022-12-29,130.88
2022-12-30,130.74
2022-12-31,130.53
2023-01-01,130.29
2023-01-02,129.97
2023-01-03,129.58
2023-01-04,128.95
2023-01-05,128.54
2023-01-06,128.24
2023-01-07,127.88
2023-01-08,127.68
2023-01-09,127.42
2023-01-10,127.35
2023-01-11,127.55
2023-01-12,127.59
2023-01-13,127.5
2023-01-14,127.22
2023-01-15,127.13
2023-01-16,127.08
2023-01-17,126.94
2023-01-18,126.64
2023-01-19,126.53
2023-01-20,126.14
2023-01-21,125.88
2023-01-22,125.46
2023-01-23,124.99
2023-01-24,124.5
2023-01-25,124.06
2023-01-26,123.41
2023-01-27,123.03
2023-01-28,122.72
2023-01-29,122.31
2023-01-30,121.89
2023-01-31,121.49
2023-02-01,121.17
2023-02-02,120.75
2023-02-03,120.28
2023-02-04,119.83
2023-02-05,119.26
2023-02-06,118.78
2023-02-07,118.17
2023-02-08,117.46
2023-02-09,116.99
2023-02-10,116.53
2023-02-11,116.03
2023-02-12,115.6
2023-02-13,115.15
2023-02-14,114.64
2023-02-15,114.24
2023-02-16,113.67
2023-02-17,113.08
2023-02-18,111.99
2023-02-19,111.43
2023-02-20,110.97
2023-02-21,110.56
2023-02-22,110.07
2023-02-23,109.55
2023-02-24,108.93
2023-02-25,108.87
2023-02-26,108.27
2023-02-27,107.55
2023-02-28,106.83
2023-03-01,105.97
2023-03-02,105.43
2023-03-03,105.06
2023-03-04,104.64
2023-03-05,104.36
2023-03-06,104.14
2023-03-07,103.88
2023-03-08,103.69
2023-03-09,103.41
2023-03-10,103.27
2023-03-11,103.16
2023-03-12,102.93
2023-03-13,102.54
2023-03-14,102.35
2023-03-15,102.37
2023-03-16,102.3
2023-03-17,102.12
2023-03-18,101.96
2023-03-19,101.89
2023-03-20,102.0
2023-03-21,102.08
2023-03-22,102.04
2023-03-23,101.87
2023-03-24,101.75
2023-03-25,101.58
2023-03-26,101.3
2023-03-27,100.93
2023-03-28,100.5
2023-03-29,100.13
2023-03-30,99.9
2023-03-31,99.66
2023-04-01,99.54
2023-04-02,99.42
2023-04-03,99.24
2023-04-04,99.11
2023-04-05,98.99
2023-04-06,98.93
2023-04-07,98.75
2023-04-08,98.55
2023-04-09,98.35
2023-04-10,98.41
2023-04-11,98.45
2023-04-12,98.44
2023-04-13,98.29
2023-04-14,98.21
2023-04-15,97.76
2023-04-16,97.73
2023-04-17,97.55
2023-04-18,97.38
2023-04-19,97.26
2023-04-20,97.25
2023-04-21,97.16
2023-04-22,97.45
2023-04-23,97.36
2023-04-24,97.26
2023-04-25,97.09
2023-04-26,97.47
2023-04-27,97.84
2023-04-28,99.06
2023-04-29,98.79
2023-04-30,98.48
2023-05-01,98.22
2023-05-02,98.09
2023-05-03,98.24
2023-05-04,98.03
2023-05-05,97.42
2023-05-06,98.15
2023-05-07,98.87
2023-05-08,99.42
2023-05-09,99.86
2023-05-10,99.54
2023-05-11,99.48
2023-05-12,98.69
2023-05-13,98.27
2023-05-14,97.93
2023-05-15,97.74
2023-05-16,97.53
2023-05-17,97.07
2023-05-18,96.87
2023-05-19,97.04
2023-05-20,96.83
2023-05-21,96.73
2023-05-22,96.56
2023-05-23,96.33
2023-05-24,96.4
2023-05-25,96.29
2023-05-26,96.16
2023-05-27,95.97
2023-05-28,95.58
2023-05-29,95.28
2023-05-30,95.04
2023-05-31,94.59
2023-06-01,94.05
2023-06-02,93.55
2023-06-03,93.32
2023-06-04,93.08
2023-06-05,92.81
2023-06-06,92.51
2023-06-07,92.22
2023-06-08,91.34
2023-06-09,90.35
2023-06-10,89.06
2023-06-11,87.9
2023-06-12,86.77
2023-06-13,85.63
2023-06-14,84.66
2023-06-15,84.44
2023-06-16,84.17
2023-06-17,84.17
2023-06-18,84.18
2023-06-19,84.16
2023-06-20,84.22
2023-06-21,84.23
2023-06-22,84.22
2023-06-23,84.15
2023-06-24,84.01
2023-06-25,83.82
2023-06-26,83.55
2023-06-27,83.35
2023-06-28,83.13
2023-06-29,82.85
2023-06-30,82.75
2023-07-01,82.62
2023-07-02,82.54
2023-07-03,82.5
2023-07-04,82.42
2023-07-05,82.45
2023-07-06,82.36
2023-07-07,82.3
2023-07-08,82.4
2023-07-09,82.45
2023-07-10,82.53
2023-07-11,82.58
2023-07-12,82.6
2023-07-13,83.18
2023-07-14,83.71
2023-07-15,84.1
2023-07-16,84.51
2023-07-17,84.94
2023-07-18,85.31
2023-07-19,85.68
2023-07-20,85.59
2023-07-21,85.47
2023-07-22,85.06
2023-07-23,84.87
