ticker,period_end,available_at,revenue,revenue_growth,operating_margin,accession,prior_accession,revenue_tag,derivation,subtract_accession,operating_accession
HUBS,2017-03-31,2017-05-03,82252000,0.39504748982360915,-0.09726207265476827,0001564590-17-008140,0001564590-16-017682,Revenues,direct_quarter,,0001564590-17-008140
NOW,2017-03-31,2017-05-06,416783000,0.3625747436077664,-0.1019475362478796,0001373715-17-000050,0001373715-16-000364,Revenues,direct_quarter,,0001373715-17-000050
CRM,2017-04-30,2017-05-23,2387579000,0.2457347713637097,-0.003720086330127715,0001108524-17-000012,0001108524-16-000066,SalesRevenueServicesNet,direct_quarter,,0001108524-17-000012
VEEV,2017-04-30,2017-06-09,157918000,0.3185765338499049,0.23644549703010423,0001564590-17-012336,0001564590-16-020379,Revenues,direct_quarter,,0001564590-17-012336
WDAY,2017-04-30,2017-06-03,479861000,0.3891700199751036,-0.12545299576335647,0001327811-17-000015,0001327811-16-000041,Revenues,direct_quarter,,0001327811-17-000015
ADBE,2017-06-02,2017-06-29,1772190000,0.26701837194155464,0.28444015596521816,0000796343-17-000130,0000796343-16-000352,Revenues,direct_quarter,,0000796343-17-000130
HUBS,2017-06-30,2017-08-03,89093000,0.3712100224705266,-0.11871864231757825,0001564590-17-014974,0001564590-16-022377,Revenues,direct_quarter,,0001564590-17-014974
NOW,2017-06-30,2017-08-09,471703000,0.3820287596099756,-0.08212158922033568,0001373715-17-000125,0001373715-16-000394,Revenues,direct_quarter,,0001373715-17-000125
CRM,2017-07-31,2017-08-26,2561589000,0.2577660611857502,0.019828707884051656,0001108524-17-000020,0001108524-16-000085,SalesRevenueServicesNet,direct_quarter,,0001108524-17-000020
VEEV,2017-07-31,2017-09-08,166585000,0.2682817270284057,0.22149653330131763,0001564590-17-018414,0001564590-16-025058,Revenues,direct_quarter,,0001564590-17-018414
WDAY,2017-07-31,2017-09-01,525320000,0.3907546005935567,-0.15538909616995356,0001327811-17-000023,0001327811-16-000050,Revenues,direct_quarter,,0001327811-17-000023
ADBE,2017-09-01,2017-09-28,1841074000,0.2575925550234397,0.29638895557701644,0000796343-17-000157,0000796343-16-000395,Revenues,direct_quarter,,0000796343-17-000157
HUBS,2017-09-30,2017-11-02,97726000,0.3844366686027567,-0.12408161594662628,0001564590-17-020828,0001564590-16-027043,Revenues,direct_quarter,,0001564590-17-020828
NOW,2017-09-30,2017-11-07,498170000,0.3928747176057441,-0.014161832306240841,0001373715-17-000164,0001373715-16-000426,Revenues,direct_quarter,,0001373715-17-000164
CRM,2017-10-31,2017-11-23,2679841000,0.2494741872690609,0.043281672308170524,0001108524-17-000040,0001108524-16-000128,SalesRevenueServicesNet,direct_quarter,,0001108524-17-000040
MDB,2017-10-31,2017-12-16,41488000,0.577190648165748,-0.579685692248361,0001441816-17-000010,0001441816-17-000010,SalesRevenueNet,direct_quarter,,0001441816-17-000010
VEEV,2017-10-31,2017-12-07,176149000,0.23371784366048232,0.23654973914129515,0001564590-17-024561,0001564590-16-030006,Revenues,direct_quarter,,0001564590-17-024561
WDAY,2017-10-31,2017-12-01,555389000,0.3559897651752275,-0.14414941599491526,0001327811-17-000032,0001327811-16-000062,Revenues,direct_quarter,,0001327811-17-000032
ADBE,2017-12-01,2018-01-23,2006595000,0.24755738399011706,0.3236029193733663,0000796343-18-000015,0000796343-17-000031,Revenues,annual_minus_9m,0000796343-17-000157,0000796343-18-000015
HUBS,2017-12-31,2018-02-14,106541000,0.39371304484328395,-0.08853868463783895,0001564590-18-001962,0001564590-17-001694,Revenues,annual_minus_9m,0001564590-17-020828,0001564590-18-001962
NOW,2017-12-31,2018-03-01,546370000,0.4166921636856762,-0.024034994600728443,0001373715-18-000058,0001373715-17-000026,Revenues,annual_minus_9m,0001373715-17-000164,0001373715-18-000058
CRM,2018-01-31,2018-03-10,2851003000,0.24281513242440678,0.027312843935976217,0001108524-18-000011,0001108524-17-000006,SalesRevenueServicesNet,annual_minus_9m,0001108524-17-000040,0001108524-18-000011
MDB,2018-01-31,2018-03-31,45041000,0.5046769559698003,-0.6050709353699962,0001441816-18-000028,0001441816-18-000028,SalesRevenueNet,annual_minus_9m,0001441816-17-000010,0001441816-18-000028
VEEV,2018-01-31,2018-03-31,184919000,0.23153716542460034,0.18866098129451273,0001564590-18-007164,0001564590-17-005637,Revenues,annual_minus_9m,0001564590-17-024561,0001564590-18-007164
WDAY,2018-01-31,2018-03-15,582480000,0.33390737212369914,-0.13963569564620246,0001327811-18-000009,0001327811-17-000008,Revenues,annual_minus_9m,0001327811-17-000032,0001327811-18-000009
ADBE,2018-03-02,2018-03-29,2078947000,0.2362572146575439,0.3380235282573341,0000796343-18-000065,0000796343-17-000088,Revenues,direct_quarter,,0000796343-18-000065
HUBS,2018-03-31,2018-05-11,114556000,0.3927442493799542,-0.09885121687209748,0001564590-18-013006,0001564590-17-008140,Revenues,direct_quarter,,0001564590-18-013006
