date,signal,rank_ic,n
2024-06-30,low_volatility_z,0.2937062937062937,12
2024-06-30,profitability_z,0.3846153846153847,12
2024-06-30,growth_z,-0.5944055944055945,12
2024-07-31,composite,0.1958041958041958,12
2024-07-31,momentum_z,0.10489510489510491,12
2024-07-31,low_volatility_z,-0.04195804195804196,12
2024-07-31,profitability_z,-0.027972027972027972,12
2024-07-31,growth_z,0.07692307692307693,12
2024-08-31,composite,0.06993006993006995,12
2024-08-31,momentum_z,0.2657342657342658,12
2024-08-31,low_volatility_z,0.1328671328671329,12
2024-08-31,profitability_z,0.013986013986013986,12
2024-08-31,growth_z,0.006993006993006993,12
2024-09-30,composite,-0.04195804195804196,12
2024-09-30,momentum_z,0.5524475524475525,12
2024-09-30,low_volatility_z,-0.4685314685314686,12
2024-09-30,profitability_z,-0.32867132867132864,12
2024-09-30,growth_z,0.44755244755244755,12
2024-10-31,composite,-0.4125874125874127,12
2024-10-31,momentum_z,-0.08391608391608392,12
2024-10-31,low_volatility_z,-0.3076923076923077,12
2024-10-31,profitability_z,-0.8181818181818183,12
2024-10-31,growth_z,0.6713286713286714,12
2024-11-30,composite,0.22377622377622378,12
2024-11-30,momentum_z,0.5664335664335665,12
2024-11-30,low_volatility_z,0.013986013986013986,12
2024-11-30,profitability_z,0.04195804195804196,12
2024-11-30,growth_z,-0.22377622377622378,12
2024-12-31,composite,-0.5944055944055945,12
2024-12-31,momentum_z,-0.2797202797202798,12
2024-12-31,low_volatility_z,-0.8321678321678322,12
2024-12-31,profitability_z,-0.8321678321678322,12
2024-12-31,growth_z,0.7062937062937064,12
2025-01-31,composite,-0.5874125874125874,12
2025-01-31,momentum_z,-0.30069930069930073,12
2025-01-31,low_volatility_z,-0.4895104895104896,12
2025-01-31,profitability_z,-0.2027972027972028,12
2025-01-31,growth_z,0.23076923076923078,12
2025-02-28,composite,0.25874125874125875,12
2025-02-28,momentum_z,-0.1258741258741259,12
2025-02-28,low_volatility_z,0.4055944055944056,12
2025-02-28,profitability_z,0.6083916083916086,12
2025-02-28,growth_z,-0.18881118881118883,12
2025-03-31,composite,0.6363636363636365,12
2025-03-31,momentum_z,0.8111888111888113,12
2025-03-31,low_volatility_z,-0.20979020979020982,12
2025-03-31,profitability_z,-0.37762237762237766,12
2025-03-31,growth_z,0.6783216783216784,12
2025-04-30,composite,0.06993006993006995,12
2025-04-30,momentum_z,0.22377622377622378,12
2025-04-30,low_volatility_z,-0.2867132867132868,12
2025-04-30,profitability_z,-0.39860139860139865,12
2025-04-30,growth_z,0.5174825174825175,12
2025-05-31,composite,0.0979020979020979,12
2025-05-31,momentum_z,0.2517482517482518,12
2025-05-31,low_volatility_z,-0.49650349650349657,12
2025-05-31,profitability_z,-0.5594405594405596,12
2025-05-31,growth_z,0.6643356643356644,12
2025-06-30,composite,-0.3076923076923077,12
2025-06-30,momentum_z,0.013986013986013986,12
2025-06-30,low_volatility_z,-0.1958041958041958,12
2025-06-30,profitability_z,-0.3216783216783217,12
2025-06-30,growth_z,-0.09090909090909093,12
2025-07-31,composite,-0.5664335664335665,12
2025-07-31,momentum_z,-0.3356643356643357,12
2025-07-31,low_volatility_z,-0.1188811188811189,12
2025-07-31,profitability_z,-0.3846153846153847,12
2025-07-31,growth_z,-0.04895104895104895,12
2025-08-31,composite,0.7762237762237763,12
2025-08-31,momentum_z,0.3356643356643357,12
2025-08-31,low_volatility_z,0.2377622377622378,12
2025-08-31,profitability_z,0.23076923076923078,12
2025-08-31,growth_z,0.44055944055944063,12
2025-09-30,composite,-0.1958041958041958,12
2025-09-30,momentum_z,0.6923076923076924,12
2025-09-30,low_volatility_z,-0.7902097902097903,12
2025-09-30,profitability_z,-0.8531468531468532,12
2025-09-30,growth_z,0.6223776223776225,12
2025-10-31,composite,-0.18881118881118883,12
2025-10-31,momentum_z,-0.17482517482517487,12
2025-10-31,low_volatility_z,0.006993006993006993,12
2025-10-31,profitability_z,0.16083916083916086,12
2025-10-31,growth_z,-0.006993006993006993,12
2025-11-30,composite,-0.4825174825174825,12
2025-11-30,momentum_z,-0.5524475524475525,12
2025-11-30,low_volatility_z,0.17482517482517487,12
2025-11-30,profitability_z,0.21678321678321683,12
2025-11-30,growth_z,-0.7482517482517484,12
2025-12-31,composite,0.7132867132867133,12
2025-12-31,momentum_z,0.6713286713286714,12
2025-12-31,low_volatility_z,-0.4685314685314686,12
2025-12-31,profitability_z,-0.16083916083916086,12
2025-12-31,growth_z,0.4685314685314686,12
2026-01-31,composite,-0.31468531468531474,12
2026-01-31,momentum_z,-0.31468531468531474,12
2026-01-31,low_volatility_z,0.04195804195804196,12
2026-01-31,profitability_z,0.1398601398601399,12
2026-01-31,growth_z,-0.3706293706293707,12
2026-02-28,composite,0.5664335664335665,12
2026-02-28,momentum_z,0.14685314685314685,12
2026-02-28,low_volatility_z,0.2447552447552448,12
2026-02-28,profitability_z,0.013986013986013986,12
2026-02-28,growth_z,0.2027972027972028,12
2026-03-31,composite,0.49650349650349657,12
2026-03-31,momentum_z,0.41958041958041964,12
2026-03-31,low_volatility_z,-0.10489510489510491,12
