date,ticker,momentum,low_volatility,profitability,growth,fundamental_available_at,fundamental_period,hiring_growth,hiring_acceleration,momentum_z,low_volatility_z,profitability_z,growth_z,composite
2025-02-28,WDAY,-0.11063600657827499,-0.08318359025393696,0.0470901952376485,0.1667009567238633,2023-11-29,2023-10-31,-0.023072429906542014,-0.005427902579042465,-0.7617500681794663,1.0354445625508295,0.2029575418254589,-0.8411061608198048,-0.09111353115574569
2025-02-28,ZS,-0.16274746738912316,-0.1218872469521611,-0.0927254314952798,0.3970068738960703,2023-12-07,2023-10-31,-0.023072429906542014,-0.005427902579042465,-1.012184804551085,-0.016450603326538596,-0.7867346877692836,1.4038726219810929,-0.10287436841645359
2025-03-31,ADBE,-0.13087595669068253,-0.10461038403041896,0.3452852614896989,0.1155801104972376,2024-01-18,2023-12-01,-0.06798278165355509,-0.054077629428730956,-1.1959367523395248,0.5026158944951932,1.7828257757050603,-1.4222051920145053,-0.0831750685384442
2025-03-31,CRM,-0.006830004376201848,-0.08755550889923669,0.1721330275229357,0.1126706647952022,2023-12-01,2023-10-31,-0.06798278165355509,-0.054077629428730956,-0.37681185980405923,1.0069853973631784,1.089447087884291,-1.4366279663518935,0.07074816477287915
2025-03-31,CRWD,0.21544654578498257,-0.16603775253560563,0.0040241013518843,0.353138847476768,2023-11-30,2023-10-31,-0.06798278165355509,-0.054077629428730956,1.0909688445783419,-1.3139961344491553,-0.10150778706550206,1.1947545745324373,0.21755487439903043
2025-03-31,DDOG,-0.05703879861972161,-0.11822816494779499,-0.0077255194179012,0.2542831813402424,2023-11-08,2023-09-30,-0.06798278165355509,-0.054077629428730956,-0.7083605514114466,0.09989272363454796,-0.18474707990560496,0.10575526318833019,-0.17186491112354338
2025-03-31,HUBS,0.15549986123502868,-0.11264409819273079,-0.0366635160171964,0.2558778082611419,2023-11-09,2023-09-30,-0.06798278165355509,-0.054077629428730956,0.6951169798165586,0.2650321897150678,-0.3897561112888883,0.12332175873257209,0.17342870424382756
2025-03-31,MDB,-0.2543219335468361,-0.17408733454303452,-0.1044398967057638,0.2976940900003297,2023-12-08,2023-10-31,-0.06798278165355509,-0.054077629428730956,-1.5627601092310557,-1.5520491042981668,-0.8699127146650286,0.5839721574062919,-0.8501874426969898
2025-03-31,NET,0.5005680089242563,-0.13949766395412008,-0.1168404334883776,0.322015938106887,2023-11-03,2023-09-30,-0.06798278165355509,-0.054077629428730956,1.9530001944404154,-0.529117254893957,-0.9577633723881119,0.851902938451027,0.3295056264023434
2025-03-31,NOW,0.219517320697465,-0.08440912964798558,0.1009615384615384,0.2495903877662479,2023-10-27,2023-09-30,-0.06798278165355509,-0.054077629428730956,1.1178497947464674,1.1000343189519497,0.5852380980007834,0.05405919790359225,0.7142953524006982
